Country or territory,Population(1 July 2022),Population(1 July 2023),Change(%),UN continentalregion[1],UN statisticalsubregion[1],,Country / dependency,Totalin km2 (mi2),Landin km2 (mi2),Waterin km2 (mi2),%water,
Paraguay,"6,760,464","6,844,146",+1.24%,Americas,South America,59,Paraguay,"406,752 (157,048)","397,300 (153,400)","9,452 (3,649)",2.3,
Nicaragua,"6,730,654","6,823,613",+1.38%,Americas,Central America,96,Nicaragua,"130,373 (50,337)","120,340 (46,464)","10,030 (3,873)",7.7,[bb]
Bulgaria,"6,825,864","6,795,803",−0.44%,Europe,Eastern Europe,103,Bulgaria,"110,879 (42,811)","108,489 (41,888)","2,390 (923)",2.2,[bf]
El Salvador,"6,280,319","6,309,624",+0.47%,Americas,Central America,149,El Salvador,"21,041 (8,124)","20,720 (8,000)",320 (120),1.5,[bt]
Denmark,"5,902,904","5,948,136",+0.77%,Europe,Northern Europe,130,Denmark,"42,947 (16,582)","42,434 (16,384)",660 (260),1.5,[bo]
Singapore,"5,649,885","5,789,090",+2.46%,Asia,South-eastern Asia,176,Singapore,736 (284),726 (280),10 (4),1.4,[ci]
Lebanon,"5,744,489","5,733,493",−0.19%,Asia,Western Asia,161,Lebanon,"10,452 (4,036)","10,230 (3,950)",220 (85),2.1,
Slovakia,"5,473,197","5,518,055",+0.82%,Europe,Eastern Europe,127,Slovakia,"49,035 (18,933)","48,080 (18,560)",950 (370),1.9,
Liberia,"5,373,294","5,493,031",+2.23%,Africa,Western Africa,102,Liberia,"111,369 (43,000)","96,320 (37,190)","15,049 (5,810)",13.5,[q]
Ireland,"5,110,016","5,196,630",+1.69%,Europe,Northern Europe,118,Ireland,"70,273 (27,133)","68,883 (26,596)","1,390 (537)",2.0,[bl]
New Zealand,"5,131,734","5,172,836",+0.80%,Oceania,Australia and New Zealand,75,New Zealand,"268,838 (103,799)","264,537 (102,138)","4,301 (1,661)",1.6,[ar]
Central African Republic,"5,098,039","5,152,421",+1.07%,Africa,Middle Africa,44,Central African Republic,"622,984 (240,535)","622,984 (240,535)",0,0,
Costa Rica,"5,081,765","5,105,525",+0.47%,Americas,Central America,126,Costa Rica,"51,100 (19,700)","51,060 (19,710)",40 (20),0.1,
Oman,"4,730,226","5,049,269",+6.74%,Asia,Western Asia,70,Oman,"309,500 (119,500)","309,500 (119,500)",0,0,[q]
Mauritania,"4,875,637","5,022,441",+3.01%,Africa,Western Africa,28,Mauritania,"1,030,700 (397,960)","1,030,700 (397,960)",0 (0),0,
Kuwait,"4,589,511","4,838,782",+5.43%,Asia,Western Asia,152,Kuwait,"17,818 (6,880)","17,818 (6,880)",0,0,
Panama,"4,400,773","4,458,759",+1.32%,Americas,Central America,116,Panama,"75,320 (29,080)","74,180 (28,640)","1,143 (441)",1.5,
Croatia,"3,907,027","3,896,023",−0.28%,Europe,Southern Europe,124,Croatia,"56,594 (21,851)","55,974 (21,612)",620 (240),1.1,[q]
Eritrea,"3,409,447","3,470,390",+1.79%,Africa,Eastern Africa,99,Eritrea,"117,600 (45,410)","101,000 (39,000)","16,600 (6,410)",14.1,[be]
Mongolia,"3,386,015","3,431,932",+1.36%,Asia,Eastern Asia,18,Mongolia,"1,564,116 (603,908)","1,557,507 (601,357)","6,609 (2,552)",0.4,
Uruguay,"3,390,913","3,388,081",−0.08%,Americas,South America,89,Uruguay,"176,215 (68,037)","175,015 (67,574)","1,200 (460)",0.7,
Bosnia and Herzegovina,"3,204,802","3,185,073",−0.62%,Europe,Southern Europe,125,Bosnia and Herzegovina,"51,209 (19,772)","51,200 (19,800)",10 (4),0.0,
Qatar,"2,892,455","2,979,082",+2.99%,Asia,Western Asia,158,Qatar,"11,586 (4,473)","11,586 (4,473)",0,0,[q]
Namibia,"2,889,662","2,963,095",+2.54%,Africa,Southern Africa,34,Namibia,"824,292 (318,261)","823,290 (317,870)","1,002 (387)",0.1,[q]
Armenia,"2,880,874","2,943,393",+2.17%,Asia,Western Asia,138,Armenia,"29,743 (11,484)","28,470 (10,990)","1,270 (490)",4.3,
Lithuania,"2,816,919","2,854,099",+1.32%,Europe,Northern Europe,121,Lithuania,"65,286 (25,207)","62,610 (24,170)","2,680 (1,040)",4.1,
Jamaica,"2,839,144","2,839,786",+0.02%,Americas,Caribbean,160,Jamaica,"10,991 (4,244)","10,830 (4,181)",160 (62),1.5,
Albania,"2,827,608","2,811,655",−0.56%,Europe,Southern Europe,140,Albania,"28,748 (11,100)","27,400 (10,600)",330 (130),1.1,
Gambia,"2,636,470","2,697,845",+2.33%,Africa,Western Africa,159,Gambia,"11,295 (4,361)","10,120 (3,907)","1,180 (456)",10.4,[bu]
Gabon,"2,430,747","2,484,789",+2.22%,Africa,Middle Africa,76,Gabon,"267,668 (103,347)","257,670 (99,487)","10,000 (4,000)",3.7,
Botswana,"2,439,892","2,480,244",+1.65%,Africa,Southern Africa,47,Botswana,"582,000 (225,000)","566,730 (218,820)","15,000 (5,800)",2.6,[q]
Lesotho,"2,286,110","2,311,472",+1.11%,Africa,Southern Africa,137,Lesotho,"30,355 (11,720)","30,355 (11,720)",0,0,
Guinea-Bissau,"2,105,529","2,153,339",+2.27%,Africa,Western Africa,134,Guinea-Bissau,"36,125 (13,948)","28,120 (10,860)","8,010 (3,090)",22.2,
Slovenia,"2,115,228","2,118,396",+0.15%,Europe,Southern Europe,150,Slovenia,"20,273 (7,827)","20,151 (7,780)",122 (47),0.6,[q]
Latvia,"1,881,063","1,882,396",+0.07%,Europe,Northern Europe,122,Latvia,"64,594 (24,940)","62,230 (24,030)","2,370 (915)",3.7,
Equatorial Guinea,"1,803,545","1,847,549",+2.44%,Africa,Middle Africa,141,Equatorial Guinea,"28,051 (10,831)","28,051 (10,831)",0,0,
North Macedonia,"1,840,233","1,831,802",−0.46%,Europe,Southern Europe,145,North Macedonia,"25,713 (9,928)","25,220 (9,737)",490 (190),1.9,
Bahrain,"1,533,459","1,569,666",+2.36%,Asia,Western Asia,173,Bahrain,778 (300),778 (300),0,0,[ch]
Trinidad and Tobago,"1,495,921","1,502,932",+0.47%,Americas,Caribbean,165,Trinidad and Tobago,"5,127 (1,980)","5,127 (1,980)",0,0,
Estonia,"1,350,091","1,367,196",+1.27%,Europe,Northern Europe,129,Estonia,"45,339 (17,505)","42,388 (16,366)","2,840 (1,100)",6.3,
Mauritius,"1,276,130","1,273,588",−0.20%,Africa,Eastern Africa,169,Mauritius,"2,040 (788)","2,030 (784)",10 (4),0.5,[cc]
Eswatini,"1,218,917","1,230,506",+0.95%,Africa,Southern Africa,153,Eswatini,"17,363 (6,704)","17,200 (6,640)",160 (62),0.9,
Djibouti,"1,137,096","1,152,944",+1.39%,Africa,Eastern Africa,146,Djibouti,"23,200 (8,960)","23,180 (8,950)",20 (8),0.1,[q]
Fiji,"919,422","924,145",+0.51%,Oceania,Melanesia,151,Fiji,"18,272 (7,055)","18,272 (7,055)",0,0,
